X,Y,Red,Green,Blue
571,18,58,72,101
572,18,56,70,98
573,18,52,65,91
574,18,49,62,87
575,18,50,64,91
576,18,58,67,96
577,18,58,68,95
578,18,58,68,95
579,18,58,68,95
580,18,61,69,94
581,18,60,69,95
582,18,58,69,99
583,18,60,71,104
584,18,63,73,108
585,18,63,73,109
586,18,65,76,115
587,18,62,72,108
588,18,59,69,99
589,18,59,69,95
590,18,61,70,93
591,18,62,71,93
592,18,63,71,97
593,18,60,71,106
594,18,65,74,115
595,18,65,74,115
596,18,61,71,106
597,18,63,73,110
598,18,64,73,113
599,18,65,74,114
600,18,68,75,116
601,18,68,74,115
602,18,65,74,113
603,18,67,74,114
604,18,67,74,114
605,18,63,73,111
606,18,69,77,112
607,18,73,78,117
608,18,73,77,119
609,18,72,77,116
610,18,70,79,111
611,18,70,77,114
612,18,73,76,119
613,18,73,77,119
614,18,71,79,111
615,18,71,79,110
616,18,71,79,110
617,18,71,79,110
618,18,72,77,113
619,18,74,79,119
620,18,73,83,119
621,18,74,78,120
622,18,74,76,119
623,18,74,77,120
624,18,73,82,119
625,18,77,83,116
626,18,78,82,116
627,18,76,83,117
628,18,76,84,118
629,18,76,83,117
630,18,79,82,115
631,18,74,84,117
632,18,79,82,114
633,18,80,81,114
634,18,80,84,120
635,18,79,85,125
636,18,80,85,122
637,18,81,84,117
638,18,80,83,114
639,18,82,86,118
640,18,81,84,116
641,18,79,89,119
642,18,80,90,120
643,18,80,93,121
644,18,84,93,122
645,18,84,92,123
646,18,82,95,122
647,18,87,90,124
648,18,87,90,123
649,18,86,91,123
571,19,53,68,98
572,19,52,67,95
573,19,47,61,87
574,19,44,58,83
575,19,47,60,88
576,19,54,64,93
577,19,54,64,94
578,19,54,64,93
579,19,54,64,94
580,19,57,65,91
581,19,56,65,91
582,19,55,66,97
583,19,58,68,104
584,19,56,67,101
585,19,59,70,107
586,19,64,73,117
587,19,61,70,110
588,19,57,67,103
589,19,57,67,97
590,19,60,70,92
591,19,61,70,90
592,19,59,68,95
593,19,56,68,103
594,19,59,70,111
595,19,57,64,98
596,19,55,62,95
597,19,58,67,106
598,19,61,70,110
599,19,63,70,112
600,19,64,71,114
601,19,62,71,113
602,19,61,70,110
603,19,63,70,112
604,19,62,70,111
605,19,58,68,108
606,19,65,73,109
607,19,65,67,102
608,19,65,65,101
609,19,66,69,107
610,19,67,74,110
611,19,67,75,109
612,19,70,73,117
613,19,70,73,117
614,19,70,73,116
615,19,68,74,110
616,19,67,76,107
617,19,67,76,107
618,19,68,74,111
619,19,70,73,116
620,19,68,73,112
621,19,63,68,96
622,19,66,68,106
623,19,69,78,114
624,19,70,80,116
625,19,73,80,114
626,19,74,80,115
627,19,72,80,116
628,19,72,80,115
629,19,73,80,115
630,19,76,79,113
631,19,76,79,112
632,19,72,80,115
633,19,75,79,113
634,19,72,78,111
635,19,69,74,108
636,19,70,73,105
637,19,73,76,106
638,19,77,81,114
639,19,77,82,115
640,19,76,86,116
641,19,76,87,117
642,19,76,87,118
643,19,77,88,119
644,19,77,89,119
645,19,80,90,120
646,19,82,89,121
647,19,79,91,120
648,19,85,88,122
649,19,78,89,119
571,20,53,68,98
572,20,53,67,97
573,20,49,62,89
574,20,45,58,84
575,20,47,60,88
576,20,54,64,93
577,20,54,64,93
578,20,54,64,93
579,20,54,64,93
580,20,55,65,94
581,20,55,65,95
582,20,56,67,101
583,20,59,70,106
584,20,58,69,104
585,20,59,70,107
586,20,62,72,115
587,20,61,70,111
588,20,58,68,107
589,20,58,68,103
590,20,58,68,99
591,20,56,62,84
592,20,49,49,63
593,20,43,39,49
594,20,42,34,40
595,20,41,32,37
596,20,41,32,37
597,20,43,36,44
598,20,47,44,60
599,20,55,58,87
600,20,63,69,110
601,20,64,71,113
602,20,62,71,111
603,20,68,72,116
604,20,65,71,113
605,20,58,67,107
606,20,51,51,68
607,20,44,36,43
608,20,43,33,38
609,20,44,35,43
610,20,47,40,50
611,20,50,46,60
612,20,60,59,89
613,20,69,72,115
614,20,70,73,117
615,20,70,73,115
616,20,68,74,110
617,20,67,76,107
618,20,68,74,110
619,20,64,65,99
620,20,48,43,53
621,20,42,33,37
622,20,43,35,39
623,20,46,38,47
624,20,49,43,55
625,20,57,56,76
626,20,68,72,101
627,20,72,80,115
628,20,73,80,115
629,20,75,79,114
630,20,76,79,113
631,20,77,77,111
632,20,65,64,88
633,20,54,49,64
634,20,47,40,47
635,20,44,35,40
636,20,44,35,38
637,20,46,37,41
638,20,51,44,53
639,20,60,58,75
640,20,73,81,109
641,20,75,86,116
642,20,80,87,120
643,20,79,87,119
644,20,77,89,119
645,20,80,90,120
646,20,84,88,122
647,20,83,88,121
648,20,83,88,121
649,20,81,88,120
571,21,55,68,101
572,21,55,68,100
573,21,50,64,91
574,21,48,61,86
575,21,48,62,91
576,21,54,64,94
577,21,54,64,93
578,21,54,64,93
579,21,54,64,93
580,21,54,64,94
581,21,55,65,98
582,21,56,68,102
583,21,58,68,104
584,21,58,68,104
585,21,58,68,104
586,21,61,70,112
587,21,61,71,112
588,21,59,68,107
589,21,57,65,100
590,21,51,54,78
591,21,44,39,47
592,21,40,29,29
593,21,37,25,21
594,21,40,26,20
595,21,52,39,32
596,21,49,36,29
597,21,40,26,21
598,21,38,26,25
