X,Y,Red,Green,Blue
1129,594,67,40,33
1130,594,40,23,20
1131,594,50,33,25
1132,594,101,74,57
1133,594,127,94,72
1134,594,123,92,70
1135,594,117,86,66
1136,594,118,87,67
1137,594,125,93,71
1138,594,134,99,77
1139,594,133,98,77
1140,594,124,92,71
1141,594,96,70,54
1142,594,83,64,51
1143,594,128,108,88
1144,594,181,164,140
1145,594,203,186,161
1146,594,194,168,140
1147,594,176,140,110
1148,594,161,128,100
1149,594,173,144,113
1150,594,199,180,154
1151,594,213,199,176
1152,594,218,206,184
1153,594,219,207,186
1154,594,222,211,189
1155,594,227,217,193
1156,594,228,217,194
1157,594,229,218,194
1158,594,228,217,194
1159,594,228,217,194
1160,594,227,216,193
1161,594,227,216,193
1162,594,227,216,193
1163,594,227,216,193
1164,594,227,216,193
1165,594,227,217,193
1166,594,230,219,196
1167,594,229,218,195
1168,594,229,218,195
1169,594,229,218,195
1170,594,229,218,195
1171,594,229,219,195
1172,594,230,219,196
1173,594,229,218,195
1174,594,229,218,195
1175,594,229,218,195
1176,594,229,218,194
1177,594,230,219,196
1178,594,230,219,196
1179,594,229,218,195
1180,594,229,218,195
1181,594,228,217,194
1182,594,225,214,191
1183,594,221,210,188
1184,594,222,211,189
1185,594,222,211,189
1186,594,222,211,188
1187,594,221,210,188
1188,594,223,212,190
1189,594,224,213,192
1190,594,224,213,192
1191,594,223,212,191
1192,594,224,213,192
1193,594,224,213,192
1194,594,225,214,192
1195,594,225,214,192
1196,594,225,214,192
1197,594,225,214,192
1198,594,224,213,191
1199,594,225,214,192
1200,594,225,214,192
1201,594,225,214,192
1202,594,225,214,192
1203,594,224,213,191
1204,594,224,213,191
1205,594,221,210,187
1206,594,219,209,186
1207,594,210,196,171
1208,594,190,167,139
1209,594,171,140,106
1210,594,166,133,99
1211,594,177,148,119
1212,594,191,167,143
1213,594,200,179,158
1214,594,159,137,121
1215,594,109,91,80
1216,594,109,84,69
1217,594,128,96,75
1218,594,130,97,76
1219,594,125,93,73
1220,594,125,93,73
1221,594,125,93,73
1222,594,120,90,71
1129,595,49,29,24
1130,595,48,32,25
1131,595,99,70,52
1132,595,131,97,74
1133,595,123,91,70
1134,595,117,86,66
1135,595,119,88,68
1136,595,124,92,71
1137,595,129,95,74
1138,595,133,98,76
1139,595,125,92,72
1140,595,96,70,54
1141,595,79,59,46
1142,595,117,107,91
1143,595,178,167,145
1144,595,203,187,162
1145,595,194,168,139
1146,595,176,140,110
1147,595,161,129,101
1148,595,171,142,115
1149,595,199,180,154
1150,595,210,195,171
1151,595,216,202,180
